id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name,subfield_id,subfield_name,keywords,wikipedia
T13497,Hermeneutics and Narrative Identity,"This cluster of papers encompasses a wide range of topics related to critical hermeneutics, interpretation studies, and narrative analysis. It explores the philosophical, ethical, and cultural dimensions of understanding and interpreting texts, history, and lived experiences. The cluster also delves into the intersection of hermeneutics with religion, identity, and phenomenology.",1012812,846600,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1211,Philosophy,Hermeneutics; Narrative; Interpretation; History; Philosophy; Ethics; Religion; Cultural Studies; Phenomenology; Identity,
T13638,Human auditory perception and evaluation,"This cluster of papers explores the perception and physiological response to hypersonic and ultrasonic stimuli, including their effects on brain activity, mental workload, nasal temperature, and bone-conducted hearing. It also investigates the use of facial skin thermography and ultrasound activation in understanding these phenomena.",993677,264527,domains/3,Physical Sciences,fields/22,Engineering,subfields/2202,Aerospace Engineering,Hypersonic Effect; Ultrasonic Perception; Brain Activity; Mental Workload; Nasal Temperature; Ultrasound Activation; Bone-Conducted Hearing; Facial Skin Thermogram; High-Frequency Sounds; Physiological Evaluation,
T10781,Plasma Diagnostics and Applications,"This cluster of papers covers a wide range of topics related to plasma physics and its applications in the semiconductor industry, including plasma etching techniques, atomic layer etching, Hall thrusters for spacecraft propulsion, electron energy distribution function measurements, and ion-molecule collisions. It also explores the use of plasmas in electric propulsion for satellites and spacecraft.",980533,894099,domains/3,Physical Sciences,fields/22,Engineering,subfields/2208,Electrical and Electronic Engineering,Plasma Etching; Semiconductor Industry; Atomic Layer Etching; Hall Thrusters; Electric Propulsion; Low Temperature Plasmas; Electron Energy Distribution Function; Spacecraft Propulsion; Ion-Molecule Collisions; Langmuir Probe,
T12760,Laser Design and Applications,"This cluster of papers focuses on the development and application of electric discharge pumped lasers, particularly emphasizing the use of atomic iodine and singlet oxygen generation for continuous wave operation and gain measurement. The research also covers topics such as copper vapor lasers, frequency conversion, and high power laser technology.",870949,439633,domains/3,Physical Sciences,fields/22,Engineering,subfields/2208,Electrical and Electronic Engineering,Electric Discharge; Laser Oscillation; Atomic Iodine; Singlet Oxygen Generation; Oxygen-Iodine Laser; Gain Measurement; Continuous Wave Operation; Copper Vapor Laser; High Power Laser; Frequency Conversion,
T11881,Crystallization and Solubility Studies,"This cluster of papers focuses on the crystallization processes and control, including topics such as nucleation, solubility, polymorphism, ultrasound-assisted crystallization, process analytical technology, crystal growth, pharmaceutical crystallization, continuous crystallization, and crystal engineering.",778871,810226,domains/3,Physical Sciences,fields/25,Materials Science,subfields/2505,Materials Chemistry,Crystallization; Nucleation; Solubility; Polymorphism; Ultrasound-Assisted Crystallization; Process Analytical Technology; Crystal Growth; Pharmaceutical Crystallization; Continuous Crystallization; Crystal Engineering,
T11893,German Literature and Culture Studies,"This cluster of papers encompasses a wide range of topics in literary studies and criticism, including authorship, bildungsroman, literature critique, gender, aesthetics, cultural memory, poetics, romanticism, and identity.",772427,378784,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1208,Literature and Literary Theory,Autorschaft; Bildung; Literaturkritik; Gender; Ästhetik; Gedächtnis; Poetik; Kultur; Romanticism; Identity,
T10384,Laser-Plasma Interactions and Diagnostics,"This cluster of papers focuses on the physics of laser-plasma interactions, including the generation and acceleration of electron and proton beams, ion acceleration, high-energy density plasmas, fusion ignition, and the use of high-power lasers. It also involves research in the relativistic regime and utilizes particle-in-cell modeling to study these phenomena.",725725,888784,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3106,Nuclear and High Energy Physics,Laser-Plasma Accelerators; Electron Beams; Proton Generation; High-Energy Density Plasmas; Fusion Ignition; Relativistic Regime; Ion Acceleration; Wakefield Acceleration; High-Power Lasers; Particle-in-Cell Modeling,
T11475,French Urban and Social Studies,"This cluster of papers explores the intersection of territorial governance, environmental participation, and sustainable development. It delves into topics such as citizen participation, local development, social justice, and community engagement in the context of rural territories. The papers also discuss the role of proximity and innovation in shaping public policy for sustainable and inclusive development.",708691,685002,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3312,Sociology and Political Science,Territorial Governance; Environmental Participation; Sustainable Development; Citizen Participation; Local Development; Proximity and Innovation; Rural Territories; Public Policy; Social Justice; Community Engagement,
T11803,Superconducting and THz Device Technology,"This cluster of papers focuses on the development and application of superconducting detectors for astrophysical observations, particularly in the terahertz and millimeter-wave regions. It covers various types of superconducting detectors such as transition-edge sensors, bolometer cameras, kinetic inductance detectors, and hot-electron bolometers, as well as related technologies like frequency multipliers and microwave SQUID multiplexers.",626880,216332,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3103,Astronomy and Astrophysics,Superconducting Detectors; Terahertz; Millimeter-wave; Transition-Edge Sensors; Bolometer Camera; Kinetic Inductance Detectors; Hot-Electron Bolometers; Frequency Multipliers; Microwave SQUID Multiplexers; Astrophysical Observations,
T10015,Genomics and Phylogenetic Studies,"This cluster of papers focuses on the statistical analysis, alignment, and annotation of RNA sequencing data, including methods for transcript quantification, phylogenetic analysis, genome assembly, and quality assessment in functional genomics. It also covers tools for sequence variation analysis and metagenomics assembly.",570960,7770890,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology",subfields/1312,Molecular Biology,RNA-seq; sequence alignment; phylogenetic analysis; genome annotation; transcript quantification; metagenomics assembly; sequence variation; phylogenetic tree; functional genomics; quality assessment,
T10165,Classical Antiquity Studies,"This cluster of papers explores various aspects of ancient Mediterranean civilizations, including the society, economy, literature, and religious practices of Ancient Rome and Greek societies. It covers topics such as demography, economic growth, poetry, religious beliefs, and social structures during the Classical Antiquity and Late Antiquity periods.",566354,1804923,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3314,Anthropology,Ancient Rome; Greek Literature; Economic History; Roman Empire; Mediterranean Society; Classical Antiquity; Demography; Ancient Poetry; Roman Religion; Late Antiquity,
T11044,Particle Detector Development and Performance,"This cluster of papers covers advancements in particle detector technology, including silicon detectors, photon counting, radiation hardness, time projection chambers, gaseous detectors, cosmic-ray muon imaging, X-ray imaging, and the performance of various types of detectors. The papers also discuss the application of CMOS technology in detector design and development.",559921,349655,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3106,Nuclear and High Energy Physics,Particle Detectors; Silicon Detectors; Photon Counting; Radiation Hardness; Time Projection Chambers; Gaseous Detectors; Cosmic-Ray Muon Imaging; X-ray Imaging; Detector Performance; CMOS Technology,
T10733,Wheat and Barley Genetics and Pathology,"This cluster of papers focuses on the genetic diversity, breeding, and genomics of wheat, with an emphasis on disease resistance, yield potential, polyploid wheat, QTL mapping, and genome sequencing. It covers topics such as the impact of environmental factors on wheat grain development, the role of genes in conferring resistance to fungal pathogens, and the use of advanced breeding technologies to improve crop productivity.",555110,1170229,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences,subfields/1110,Plant Science,Wheat; Genetics; Breeding; Disease Resistance; Genomic Diversity; Yield Potential; Polyploid Wheat; QTL Mapping; Genome Sequencing; Crop Improvement,
T10941,Musicology and Musical Analysis,"This cluster of papers covers a wide range of topics related to the historical and theoretical study of music, including musicology, musical theory, performance practice, historical analysis, cultural context, ethnomusicology, music criticism, musical narrative, mathematics of music, and opera studies. The papers explore various aspects of music from different time periods and cultural contexts, delving into the complexities of musical composition, performance, and reception.",553739,506973,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1210,Music,Musicology; Musical Theory; Performance Practice; Historical Analysis; Cultural Context; Ethnomusicology; Music Criticism; Musical Narrative; Mathematics of Music; Opera Studies,
T14380,Libraries and Information Services,"This cluster of papers explores the intersection of literature and museum exhibitions, focusing on the materiality of literature, curation practices, narrative spaces, and the role of literature in art and history. It delves into the challenges and strategies of exhibiting literary works, author museums, and the cultural significance of literature in museum contexts.",553027,114848,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1209,Museology,Literature; Museum; Exhibition; Materiality; Curation; Narrative; Art; History; Authorship; Curating,
T12837,American Environmental and Regional History,"This cluster of papers covers the environmental history of the United States, including topics such as the environmental movement, conservation efforts, renewable energy challenges, industrial agriculture, wilderness preservation, chemical pollution, national parks, sustainability initiatives, historical perspectives on environmental issues, and public policy related to environmental management.",541380,540515,domains/3,Physical Sciences,fields/23,Environmental Science,subfields/2308,"Management, Monitoring, Policy and Law",Environmental Movement; Conservation; Renewable Energy; Industrial Agriculture; Wilderness Preservation; Chemical Pollution; National Parks; Sustainability; Historical Perspectives; Public Policy,
T11175,Gyrotron and Vacuum Electronics Research,"This cluster of papers focuses on the development, theory, and applications of high-power vacuum electronic sources, particularly in the terahertz frequency range. It covers topics such as gyrotrons, plasma physics, microwave generation, electron cyclotron masers, traveling-wave tubes, dynamic nuclear polarization, space-charge-limited flow, and high-power microwave devices.",540810,385092,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3107,"Atomic and Molecular Physics, and Optics",Vacuum Electronics; High Power Terahertz Sources; Gyrotrons; Plasma Physics; Microwave Generation; Electron Cyclotron Masers; Traveling-Wave Tubes; Dynamic Nuclear Polarization; Space-Charge-Limited Flow; High-Power Microwave Devices,
T11662,Legal Cases and Commentary,"This cluster of papers covers a wide range of scientific research topics, including scientific opinions on health claims, international law, copyright law, antitrust laws, corporate governance, environmental permitting, financial sector supervision, surrogacy regulation, and blockchain and smart contracting.",522343,74790,domains/4,Health Sciences,fields/27,Medicine,subfields/2743,Reproductive Medicine,scientific opinion; health claims; international law; copyright law; antitrust laws; corporate governance; environmental permitting; financial sector supervision; surrogacy regulation; blockchain and smart contracting,
T11926,Subterranean biodiversity and taxonomy,"This cluster of papers explores the evolutionary patterns, genetic analysis, and ecological adaptations of subterranean organisms, with a focus on cavefish, groundwater biodiversity, and morphological convergence. It delves into the molecular and morphological evolution of various species in subterranean environments, shedding light on their unique adaptations and biodiversity. The research also investigates the relationships between environmental variables and groundwater biodiversity at regional scales.",512997,190320,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences,subfields/1911,Paleontology,Subterranean; Evolution; Biodiversity; Cavefish; Groundwater; Morphological Convergence; Genetic Analysis; Ecology; Adaptation; Phylogenetic,
T13958,"Education, Innovation and Language Studies","This cluster of papers focuses on the development and improvement of educational methods, systems, and techniques. It covers a wide range of topics including pedagogy, teaching methods, student competencies, digital education, critical thinking, formative assessment, educational technologies, language teaching, artistic education, and tourism development.",508934,51736,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3304,Education,Pedagogy; Teaching Methods; Student Competencies; Digital Education; Critical Thinking; Formative Assessment; Educational Technologies; Language Teaching; Artistic Education; Tourism Development,
T13445,American Constitutional Law and Politics,"This cluster of papers explores the development of American political thought and history, focusing on topics such as the American founding, constitutional government, religious freedom, public opinion, separation of church and state, presidential prerogative, early republic, federalism, political philosophy, and nationalism.",494837,1831108,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3320,Political Science and International Relations,American founding; Constitutional government; Religious freedom; Public opinion; Separation of church and state; Presidential prerogative; Early Republic; Federalism; Political philosophy; Nationalism,
T10591,Theoretical and Computational Physics,"This cluster of papers explores various aspects of critical phenomena, including phase transitions, random walk algorithms, renormalization-group theory, self-organized criticality, fractal dimension, percolation theory, spin glasses, and Monte Carlo simulations. The research covers a wide range of topics related to the behavior of physical systems near critical points and provides insights into universality classes and complex system dynamics.",488684,2552251,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3104,Condensed Matter Physics,Phase Transitions; Critical Phenomena; Random Walk Algorithm; Renormalization-group Theory; Self-organized Criticality; Fractal Dimension; Percolation Theory; Spin Glasses; Monte Carlo Simulation; Universality Classes,
T10251,Solar and Space Plasma Dynamics,"This cluster of papers covers a wide range of topics related to solar physics, including the study of solar dynamics, coronal mass ejections, solar wind, magnetohydrodynamic turbulence, solar flares, helioseismology, solar irradiance variability, interplanetary coronal mass ejections, sunspots, and space weather.",472685,2939766,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3103,Astronomy and Astrophysics,Solar Dynamics Observatory; Coronal Mass Ejections; Solar Wind; Magnetohydrodynamic Turbulence; Solar Flares; Helioseismology; Solar Irradiance Variability; Interplanetary Coronal Mass Ejections; Sunspots; Space Weather,
T10048,Particle physics theoretical and experimental studies,"This cluster of papers covers a wide range of topics in particle physics, including high-energy collider experiments, Higgs boson observation, neutrino mass, supersymmetry, quantum chromodynamics, standard model, muon anomalous magnetic moment, electroweak symmetry breaking, and dark matter.",472629,4760594,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3106,Nuclear and High Energy Physics,Particle Physics; High-Energy Collider; Higgs Boson; Neutrino Mass; Supersymmetry; Quantum Chromodynamics; Standard Model; Muon Anomalous Magnetic Moment; Electroweak Symmetry Breaking; Dark Matter,
T13085,"Education, Psychology, and Social Research","This cluster of papers covers a wide range of topics related to pedagogical and educational research, including methods of pedagogical research, curriculum reform, psychological studies in education, digital education, and student attitudes. It also explores teaching techniques, learning environments, and the impact of teacher competence on the school climate.",468834,47561,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3304,Education,Pedagogical Research; Educational Methods; Learning Environments; Curriculum Reform; Teaching Techniques; Psychological Studies; Digital Education; Student Attitudes; School Climate; Teacher Competence,
T10744,Astrophysical Phenomena and Observations,"This cluster of papers focuses on various aspects of black hole astrophysics, including X-ray astronomy, accretion disks, event horizon imaging, gravitational lensing, stellar orbits around black holes, magnetic fields in black hole systems, relativistic jets, and X-ray spectroscopy. The research covers observations and theoretical models related to supermassive black holes at the centers of galaxies, as well as stellar-mass black holes.",468324,1556321,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3103,Astronomy and Astrophysics,Black Holes; X-Ray Astronomy; Accretion Disks; Event Horizon Telescope; Galactic Center; Gravitational Lensing; Stellar Orbits; Magnetic Fields; Relativistic Jets; X-Ray Spectroscopy,
T11986,Scientific Computing and Data Management,"This cluster of papers focuses on the management, reproducibility, and provenance of scientific workflows, particularly in the fields of bioinformatics and computational research. It explores topics such as data provenance, workflow management systems, semantic web services, cyberinfrastructure, and software development for scientific applications.",465693,597849,domains/2,Social Sciences,fields/18,Decision Sciences,subfields/1802,Information Systems and Management,Scientific Workflows; Reproducibility; Data Provenance; Workflow Management; Bioinformatics; Semantic Web Services; Cyberinfrastructure; Computational Research; Software Development; Ontologies,
T12565,Physics and Engineering Research Articles,"This cluster of papers covers a wide range of topics related to fluid dynamics, renewable energy integration, engineering applications, materials science, vibration analysis, thermal management, sustainability, turbine technology, and mathematical modeling. It includes research on topics such as wind energy systems, hydrodynamics, heat transfer enhancement, and the development of new composite materials for various engineering applications.",447018,533316,domains/3,Physical Sciences,fields/22,Engineering,subfields/2206,Computational Mechanics,Fluid Dynamics; Renewable Energy; Engineering; Materials Science; Renewable Energy Integration; Vibration Analysis; Thermal Management; Sustainability; Turbine Technology; Mathematical Modeling,
T10252,Microbial Natural Products and Biosynthesis,"This cluster of papers focuses on the exploration of natural products, particularly from microbial sources, as potential sources of new drugs. It covers various aspects such as genome sequencing, biosynthetic gene clusters, secondary metabolites, and their role in drug discovery. The cluster also emphasizes the significance of marine natural products and the potential of endophytic fungi in providing bioactive compounds for pharmaceutical applications.",428942,1662630,domains/4,Health Sciences,fields/27,Medicine,subfields/2736,Pharmacology,Natural Products; Drug Discovery; Secondary Metabolites; Antibiotics; Microbial Metabolites; Genome Sequencing; Endophytic Fungi; Marine Natural Products; Nonribosomal Peptides; Polyketide Biosynthesis,
T11974,Lepidoptera: Biology and Taxonomy,"This cluster of papers focuses on the use of DNA barcoding to identify and classify Lepidoptera species, particularly butterflies and moths. It explores the application of DNA-based registry systems, molecular phylogenetics, and evolutionary patterns within the Lepidoptera order. The research also delves into the challenges and successes of using DNA barcodes for species identification and delimitation.",417357,389885,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology",subfields/1311,Genetics,DNA Barcoding; Lepidoptera; Taxonomy; Evolution; Phylogeny; Molecular Phylogenetics; Butterflies; Moths; Cryptic Species; Biodiversity,
T13650,Computational Physics and Python Applications,"This cluster of papers covers a wide range of topics related to scientific computing and data analysis using Python. It includes statistical modeling, machine learning, visualization, geospatial mapping, geomorphology, oceanography, and HF radio networking. The papers showcase the diverse applications and tools available for scientific research and data analysis in various fields.",412731,667234,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1702,Artificial Intelligence,Python; Scientific Computing; Statistical Modeling; Machine Learning; Data Analysis; Visualization; Geospatial Mapping; Geomorphology; Oceanography; HF Radio Networking,
T10362,Biblical Studies and Interpretation,"This cluster of papers focuses on biblical studies, ancient Judaism, early Christianity, and Christian theology. It explores topics such as biblical monotheism, Jewish society, Christian identity in the ancient world, the Hebrew Bible, early Christian literature, Iron Age chronology, theology, and the Dead Sea Scrolls.",405515,1099508,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1212,Religious studies,Biblical Monotheism; Jewish Society; Christian Identity; Ancient Judaism; Hebrew Bible; Early Christianity; Iron Age Chronology; Theology; Dead Sea Scrolls; Religious Interpretation,
T12633,Legal case studies and regulations,"This cluster of papers covers a wide range of topics related to global governance and international law, including regulatory policymaking, human rights, environmental governance, data privacy laws, corporate governance, intellectual property protection, immigration policy, and trade agreements. The papers discuss various legal and regulatory challenges in the context of globalization and the interconnectedness of national and international legal systems.",403189,79313,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3320,Political Science and International Relations,International Law; Regulatory Policymaking; Human Rights; Global Financial Crisis; Environmental Governance; Data Privacy Laws; Corporate Governance; Intellectual Property Protection; Immigration Policy; Trade Agreements,
T12930,Biomedical and Chemical Research,"This cluster of papers covers a wide range of topics in medical science and healthcare, including anaesthesia, clinical leadership, chemistry, neurology, physiology, cancer management, healthcare reform, and the use of medical gases. The papers discuss advancements in medical treatments, diagnostic techniques, and healthcare management.",397480,356311,domains/4,Health Sciences,fields/27,Medicine,subfields/2746,Surgery,Anaesthesia; Medical Gases; Clinical Leadership; Chemistry; Neurology; Physiology; Thermodynamics; Oxygen Consumption; Cancer Management; Healthcare Reform,
T10017,Geology and Paleoclimatology Research,"This cluster of papers encompasses research on climate change and paleoclimatology, including topics such as glacial cycles, Holocene climate variability, sea level fluctuations, monsoon dynamics, greenhouse warming, ice core records, solar influence on climate, and atmospheric CO2 concentrations over various timescales.",395285,6525387,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences,subfields/1902,Atmospheric Science,Climate Change; Paleoclimatology; Glacial Cycles; Holocene; Sea Level; Monsoon Dynamics; Greenhouse Warming; Ice Core Records; Solar Influence; Atmospheric CO2,
T10893,Chinese history and philosophy,"This cluster of papers explores the religious diversity and regulation in Chinese society, covering topics such as Confucianism, Christianity, Falun Gong, the Cultural Revolution, nationalism, and the history of religion in China. It delves into the discourse of civilization, state regulation of religion, and the influence of emotions on beliefs.",393269,720870,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3312,Sociology and Political Science,Religion; China; Regulation; Confucianism; Christianity; Falun Gong; Cultural Revolution; Philosophy; Nationalism; History,
T12409,Reformation and Early Modern Christianity,"This cluster of papers encompasses a wide range of topics related to the Reformation, Calvinism, religious controversy, church history, and social and cultural dynamics in Early Modern Europe. It explores the theological, political, and societal implications of the Reformation movement and its influence on various aspects of European life during that period.",391365,596073,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1202,History,Reformation; Calvinism; Religious Controversy; Church History; Early Modern Europe; Theology; Biblical Scholarship; Political Polarization; Social History; Cultural Identity,
T10885,Gene expression and cancer classification,"This cluster of papers focuses on the analysis of microarray data and gene expression profiling, covering topics such as normalization, differential expression, feature selection, machine learning applications, clustering methods, quality control, and bioinformatics tools. The papers discuss various techniques and methods for processing and interpreting gene expression data obtained from microarray experiments.",389525,1767799,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology",subfields/1312,Molecular Biology,Microarray; Gene Expression; Data Analysis; Normalization; Differential Expression; Feature Selection; Machine Learning; Clustering; Quality Control; Bioinformatics,
T10001,Geological and Geochemical Analysis,"This cluster of papers focuses on the tectonic evolution and geochronological analysis of orogenic processes, with a particular emphasis on zircon geochemistry, isotopic composition, and thermodynamic modeling. It covers topics such as subduction zones, mantle evolution, plate tectonics, and the growth of continental crust.",377756,8203517,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences,subfields/1908,Geophysics,Zircon; Geochronology; Tectonics; Granitic Rocks; Isotopic Composition; Subduction Zones; Mantle Evolution; Plate Tectonics; Thermodynamic Modeling; Continental Growth,
T11937,Research Data Management Practices,"This cluster of papers revolves around the practices, challenges, and opportunities of data sharing and stewardship in scientific research. It covers topics such as open science, research data management, data reuse, metadata, ecology, digital repositories, FAIR principles, and data citation.",372170,195934,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1710,Information Systems,Data Sharing; Scientific Data Management; Open Science; Research Data; Data Reuse; Metadata; Ecology; Digital Repositories; FAIR Principles; Data Citation,
T11993,Atomic and Subatomic Physics Research,"This cluster of papers focuses on advances in atomic magnetometry techniques, including the use of atomic magnetometers for magnetic resonance imaging with hyperpolarized gases, measurement of neutron lifetime, exploration of quantum states, and applications in magnetoencephalography and lung function imaging. The research also covers topics such as optical pumping, spin-exchange relaxation, and microfabricated devices for atomic sensing.",365164,708462,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3107,"Atomic and Molecular Physics, and Optics",Atomic Magnetometer; Magnetic Resonance Imaging; Hyperpolarized Gases; Neutron Lifetime Measurement; Quantum States; Magnetoencephalography; Lung Function Imaging; Optical Pumping; Spin-Exchange Relaxation; Microfabricated Devices,
